Time;Guest memory usage
2019-03-01T00:00:00+01:00;76336332
2019-03-01T01:00:00+01:00;166601250
2019-03-01T02:00:00+01:00;123627110
2019-03-01T03:00:00+01:00;134375014
2019-03-01T04:00:00+01:00;143689864
2019-03-01T05:00:00+01:00;88517290
2019-03-01T06:00:00+01:00;111446152
2019-03-01T07:00:00+01:00;360080998
2019-03-01T08:00:00+01:00;329270340
2019-03-01T09:00:00+01:00;286278724
2019-03-01T10:00:00+01:00;453212023
2019-03-01T11:00:00+01:00;362947106
2019-03-01T12:00:00+01:00;274814293
2019-03-01T13:00:00+01:00;294877047
2019-03-01T14:00:00+01:00;296310101
2019-03-01T15:00:00+01:00;287711778
2019-03-01T16:00:00+01:00;237554892
2019-03-01T17:00:00+01:00;101414775
2019-03-01T18:00:00+01:00;92816452
2019-03-01T19:00:00+01:00;147272499
2019-03-01T20:00:00+01:00;75619805
2019-03-01T21:00:00+01:00;103564356
2019-03-01T22:00:00+01:00;123627110
2019-03-01T23:00:00+01:00;82785075
2019-03-02T00:00:00+01:00;94966033
2019-03-02T01:00:00+01:00;490436471
2019-03-02T02:00:00+01:00;131508906
2019-03-02T03:00:00+01:00;163036091
2019-03-02T04:00:00+01:00;144406391
2019-03-02T05:00:00+01:00;83501602
2019-03-02T06:00:00+01:00;92816452
2019-03-02T07:00:00+01:00;153004714
2019-03-02T08:00:00+01:00;82068548
2019-03-02T09:00:00+01:00;81352021
2019-03-02T10:00:00+01:00;170201361
2019-03-02T11:00:00+01:00;79202440
2019-03-02T12:00:00+01:00;80635494
2019-03-02T13:00:00+01:00;137241122
2019-03-02T14:00:00+01:00;148705553
2019-03-02T15:00:00+01:00;104280883
2019-03-02T16:00:00+01:00;138674176
2019-03-02T17:00:00+01:00;103564356
2019-03-02T18:00:00+01:00;94249506
2019-03-02T19:00:00+01:00;153004714
2019-03-02T20:00:00+01:00;104997410
2019-03-02T21:00:00+01:00;86367709
2019-03-02T22:00:00+01:00;128642798
2019-03-02T23:00:00+01:00;78485913
2019-03-03T00:00:00+01:00;83501602
2019-03-03T01:00:00+01:00;220358246
2019-03-03T02:00:00+01:00;125060164
2019-03-03T03:00:00+01:00;146555972
2019-03-03T04:00:00+01:00;123627110
2019-03-03T05:00:00+01:00;94249506
2019-03-03T06:00:00+01:00;78485913
2019-03-03T07:00:00+01:00;138674176
2019-03-03T08:00:00+01:00;90666871
2019-03-03T09:00:00+01:00;91383398
2019-03-03T10:00:00+01:00;132941960
2019-03-03T11:00:00+01:00;89233817
2019-03-03T12:00:00+01:00;93532979
2019-03-03T13:00:00+01:00;150855133
2019-03-03T14:00:00+01:00;163036091
2019-03-03T15:00:00+01:00;104280883
2019-03-03T16:00:00+01:00;155870822
2019-03-03T17:00:00+01:00;81352021
2019-03-03T18:00:00+01:00;79202440
2019-03-03T19:00:00+01:00;115745314
2019-03-03T20:00:00+01:00;71320644
2019-03-03T21:00:00+01:00;102131302
2019-03-03T22:00:00+01:00;125776691
2019-03-03T23:00:00+01:00;89233817
2019-03-04T00:00:00+01:00;92099925
2019-03-04T01:00:00+01:00;138674176
2019-03-04T02:00:00+01:00;133658487
2019-03-04T03:00:00+01:00;183815372
2019-03-04T04:00:00+01:00;136524595
2019-03-04T05:00:00+01:00;89233817
2019-03-04T06:00:00+01:00;97115613
2019-03-04T07:00:00+01:00;281979562
2019-03-04T08:00:00+01:00;426001476
2019-03-04T09:00:00+01:00;388025548
2019-03-04T10:00:00+01:00;446780757
2019-03-04T11:00:00+01:00;413820518
2019-03-04T12:00:00+01:00;362230579
2019-03-04T13:00:00+01:00;435281373
2019-03-04T14:00:00+01:00;408088302
2019-03-04T15:00:00+01:00;357214890
2019-03-04T16:00:00+01:00;415253572
2019-03-04T17:00:00+01:00;221074773
2019-03-04T18:00:00+01:00;99265194
2019-03-04T19:00:00+01:00;144406391
2019-03-04T20:00:00+01:00;97832140
2019-03-04T21:00:00+01:00;89233817
2019-03-04T22:00:00+01:00;130075852
2019-03-04T23:00:00+01:00;96399086
2019-03-05T00:00:00+01:00;92816452
2019-03-05T01:00:00+01:00;153721241
2019-03-05T02:00:00+01:00;137957649
2019-03-05T03:00:00+01:00;165088516
2019-03-05T04:00:00+01:00;133658487
2019-03-05T05:00:00+01:00;84218129
2019-03-05T06:00:00+01:00;83501602
2019-03-05T07:00:00+01:00;265499443
2019-03-05T08:00:00+01:00;313506747
2019-03-05T09:00:00+01:00;351482675
2019-03-05T10:00:00+01:00;446064230
2019-03-05T11:00:00+01:00;476874888
2019-03-05T12:00:00+01:00;352199202
2019-03-05T13:00:00+01:00;331419921
2019-03-05T14:00:00+01:00;334286028
2019-03-05T15:00:00+01:00;280546508
