Time;Number of bytes transmitted
2019-06-06T00:00:00+02:00;20557824
2019-06-06T00:01:00+02:00;23638016
2019-06-06T00:02:00+02:00;22553600
2019-06-06T00:03:00+02:00;16589824
2019-06-06T00:04:00+02:00;16589824
2019-06-06T00:05:00+02:00;20831232
2019-06-06T00:06:00+02:00;19510272
2019-06-06T00:07:00+02:00;21619712
2019-06-06T00:08:00+02:00;18931712
2019-06-06T00:09:00+02:00;18931712
2019-06-06T00:10:00+02:00;15814656
2019-06-06T00:11:00+02:00;16940032
2019-06-06T00:12:00+02:00;17291264
2019-06-06T00:13:00+02:00;18812928
2019-06-06T00:14:00+02:00;18812928
2019-06-06T00:15:00+02:00;14530560
2019-06-06T00:16:00+02:00;18587648
2019-06-06T00:17:00+02:00;15391744
2019-06-06T00:18:00+02:00;15391744
2019-06-06T00:19:00+02:00;14525440
2019-06-06T00:20:00+02:00;14675968
2019-06-06T00:21:00+02:00;17373184
2019-06-06T00:22:00+02:00;16549888
2019-06-06T00:23:00+02:00;16549888
2019-06-06T00:24:00+02:00;17273856
2019-06-06T00:25:00+02:00;15781888
2019-06-06T00:26:00+02:00;16993280
2019-06-06T00:27:00+02:00;16993280
2019-06-06T00:28:00+02:00;19886080
2019-06-06T00:29:00+02:00;17096704
2019-06-06T00:30:00+02:00;14300160
2019-06-06T00:31:00+02:00;15248384
2019-06-06T00:32:00+02:00;15248384
2019-06-06T00:33:00+02:00;13490176
2019-06-06T00:34:00+02:00;12996608
2019-06-06T00:35:00+02:00;11421696
2019-06-06T00:36:00+02:00;11421696
2019-06-06T00:37:00+02:00;14285824
2019-06-06T00:38:00+02:00;13389824
2019-06-06T00:39:00+02:00;16252928
2019-06-06T00:40:00+02:00;14126080
2019-06-06T00:41:00+02:00;14126080
2019-06-06T00:42:00+02:00;12325888
2019-06-06T00:43:00+02:00;14546944
2019-06-06T00:44:00+02:00;14377984
2019-06-06T00:45:00+02:00;14377984
2019-06-06T00:46:00+02:00;16001024
2019-06-06T00:47:00+02:00;16036864
2019-06-06T00:48:00+02:00;11797504
2019-06-06T00:49:00+02:00;11797504
2019-06-06T00:50:00+02:00;9195520
2019-06-06T00:51:00+02:00;10778624
2019-06-06T00:52:00+02:00;10953728
2019-06-06T00:53:00+02:00;8724480
2019-06-06T00:54:00+02:00;8724480
2019-06-06T00:55:00+02:00;10745856
2019-06-06T00:56:00+02:00;8426496
2019-06-06T00:57:00+02:00;8290304
2019-06-06T00:58:00+02:00;8290304
2019-06-06T00:59:00+02:00;9546752
2019-06-06T01:00:00+02:00;8354816
2019-06-06T01:01:00+02:00;21538816
2019-06-06T01:02:00+02:00;26688512
2019-06-06T01:03:00+02:00;26688512
2019-06-06T01:04:00+02:00;28891136
2019-06-06T01:05:00+02:00;29418496
2019-06-06T01:06:00+02:00;19950592
2019-06-06T01:07:00+02:00;19950592
2019-06-06T01:08:00+02:00;42235904
2019-06-06T01:09:00+02:00;20363264
2019-06-06T01:10:00+02:00;23963648
2019-06-06T01:11:00+02:00;14940160
2019-06-06T01:12:00+02:00;14940160
2019-06-06T01:13:00+02:00;46596096
2019-06-06T01:14:00+02:00;20648960
2019-06-06T01:15:00+02:00;29451264
2019-06-06T01:16:00+02:00;29451264
2019-06-06T01:17:00+02:00;23182336
2019-06-06T01:18:00+02:00;37512192
2019-06-06T01:19:00+02:00;20348928
2019-06-06T01:20:00+02:00;31708160
2019-06-06T01:21:00+02:00;31708160
