Time;Number of packets received on interface Network adapter 1
2019-03-01T00:00:00+01:00;18976
2019-03-01T01:00:00+01:00;16007
2019-03-01T02:00:00+01:00;17691
2019-03-01T03:00:00+01:00;17670
2019-03-01T04:00:00+01:00;20233
2019-03-01T05:00:00+01:00;15699
2019-03-01T06:00:00+01:00;16223
2019-03-01T07:00:00+01:00;23034
2019-03-01T08:00:00+01:00;25136
2019-03-01T09:00:00+01:00;20913
2019-03-01T10:00:00+01:00;22699
2019-03-01T11:00:00+01:00;23443
2019-03-01T12:00:00+01:00;26864
2019-03-01T13:00:00+01:00;24009
2019-03-01T14:00:00+01:00;21518
2019-03-01T15:00:00+01:00;20044
2019-03-01T16:00:00+01:00;21101
2019-03-01T17:00:00+01:00;15917
2019-03-01T18:00:00+01:00;17315
2019-03-01T19:00:00+01:00;16597
2019-03-01T20:00:00+01:00;19306
2019-03-01T21:00:00+01:00;13634
2019-03-01T22:00:00+01:00;16935
2019-03-01T23:00:00+01:00;14901
2019-03-02T00:00:00+01:00;16749
2019-03-02T01:00:00+01:00;15527
2019-03-02T02:00:00+01:00;14821
2019-03-02T03:00:00+01:00;16666
2019-03-02T04:00:00+01:00;22724
2019-03-02T05:00:00+01:00;12884
2019-03-02T06:00:00+01:00;23162
2019-03-02T07:00:00+01:00;13780
2019-03-02T08:00:00+01:00;18911
2019-03-02T09:00:00+01:00;13712
2019-03-02T10:00:00+01:00;18420
2019-03-02T11:00:00+01:00;16890
2019-03-02T12:00:00+01:00;19508
2019-03-02T13:00:00+01:00;13639
2019-03-02T14:00:00+01:00;13338
2019-03-02T15:00:00+01:00;17259
2019-03-02T16:00:00+01:00;21505
2019-03-02T17:00:00+01:00;13255
2019-03-02T18:00:00+01:00;15566
2019-03-02T19:00:00+01:00;15523
2019-03-02T20:00:00+01:00;20094
2019-03-02T21:00:00+01:00;13878
2019-03-02T22:00:00+01:00;14074
2019-03-02T23:00:00+01:00;13058
2019-03-03T00:00:00+01:00;18679
2019-03-03T01:00:00+01:00;12617
2019-03-03T02:00:00+01:00;16052
2019-03-03T03:00:00+01:00;15863
2019-03-03T04:00:00+01:00;17364
2019-03-03T05:00:00+01:00;14804
2019-03-03T06:00:00+01:00;16783
2019-03-03T07:00:00+01:00;20362
2019-03-03T08:00:00+01:00;16412
2019-03-03T09:00:00+01:00;14022
2019-03-03T10:00:00+01:00;16061
2019-03-03T11:00:00+01:00;14387
2019-03-03T12:00:00+01:00;19120
2019-03-03T13:00:00+01:00;13660
2019-03-03T14:00:00+01:00;14959
2019-03-03T15:00:00+01:00;15134
2019-03-03T16:00:00+01:00;21737
2019-03-03T17:00:00+01:00;13588
2019-03-03T18:00:00+01:00;17289
2019-03-03T19:00:00+01:00;15855
2019-03-03T20:00:00+01:00;17687
2019-03-03T21:00:00+01:00;15687
2019-03-03T22:00:00+01:00;16963
2019-03-03T23:00:00+01:00;14367
2019-03-04T00:00:00+01:00;17877
2019-03-04T01:00:00+01:00;12839
2019-03-04T02:00:00+01:00;15789
2019-03-04T03:00:00+01:00;15162
2019-03-04T04:00:00+01:00;33081
2019-03-04T05:00:00+01:00;12253
2019-03-04T06:00:00+01:00;16569
2019-03-04T07:00:00+01:00;19082
2019-03-04T08:00:00+01:00;38622
2019-03-04T09:00:00+01:00;22331
2019-03-04T10:00:00+01:00;20865
2019-03-04T11:00:00+01:00;24776
2019-03-04T12:00:00+01:00;26438
2019-03-04T13:00:00+01:00;26497
2019-03-04T14:00:00+01:00;21983
2019-03-04T15:00:00+01:00;24847
2019-03-04T16:00:00+01:00;22764
2019-03-04T17:00:00+01:00;26756
2019-03-04T18:00:00+01:00;17566
2019-03-04T19:00:00+01:00;17462
2019-03-04T20:00:00+01:00;13523
2019-03-04T21:00:00+01:00;21152
2019-03-04T22:00:00+01:00;14461
2019-03-04T23:00:00+01:00;18213
2019-03-05T00:00:00+01:00;18072
2019-03-05T01:00:00+01:00;18531
2019-03-05T02:00:00+01:00;14708
2019-03-05T03:00:00+01:00;18370
2019-03-05T04:00:00+01:00;18918
2019-03-05T05:00:00+01:00;50839
2019-03-05T06:00:00+01:00;17177
2019-03-05T07:00:00+01:00;21960
2019-03-05T08:00:00+01:00;33025
