Time;Average number of bytes read from the disk Hard disk 1
2019-03-01T00:00:00+01:00;21361100
2019-03-01T01:00:00+01:00;535790
2019-03-01T02:00:00+01:00;639010
2019-03-01T03:00:00+01:00;276394
2019-03-01T04:00:00+01:00;82414
2019-03-01T05:00:00+01:00;6417
2019-03-01T06:00:00+01:00;36471
2019-03-01T07:00:00+01:00;47803
2019-03-01T08:00:00+01:00;238540
2019-03-01T09:00:00+01:00;154931
2019-03-01T10:00:00+01:00;40526
2019-03-01T11:00:00+01:00;44219
2019-03-01T12:00:00+01:00;121070
2019-03-01T13:00:00+01:00;16537
2019-03-01T14:00:00+01:00;27033
2019-03-01T15:00:00+01:00;11861
2019-03-01T16:00:00+01:00;94907
2019-03-01T17:00:00+01:00;18756
2019-03-01T18:00:00+01:00;7918
2019-03-01T19:00:00+01:00;12646
2019-03-01T20:00:00+01:00;3635
2019-03-01T21:00:00+01:00;2440
2019-03-01T22:00:00+01:00;6263
2019-03-01T23:00:00+01:00;29064
2019-03-02T00:00:00+01:00;32264089
2019-03-02T01:00:00+01:00;471483
2019-03-02T02:00:00+01:00;215244
2019-03-02T03:00:00+01:00;420454
2019-03-02T04:00:00+01:00;273629
2019-03-02T05:00:00+01:00;5734
2019-03-02T06:00:00+01:00;97450
2019-03-02T07:00:00+01:00;10820
2019-03-02T08:00:00+01:00;179217
2019-03-02T09:00:00+01:00;6297
2019-03-02T10:00:00+01:00;14762
2019-03-02T11:00:00+01:00;13380
2019-03-02T12:00:00+01:00;114346
2019-03-02T13:00:00+01:00;5068
2019-03-02T14:00:00+01:00;6758
2019-03-02T15:00:00+01:00;5358
2019-03-02T16:00:00+01:00;26316
2019-03-02T17:00:00+01:00;2525
2019-03-02T18:00:00+01:00;11520
2019-03-02T19:00:00+01:00;3310
2019-03-02T20:00:00+01:00;4338
2019-03-02T21:00:00+01:00;5102
2019-03-02T22:00:00+01:00;100556
2019-03-02T23:00:00+01:00;2184
2019-03-03T00:00:00+01:00;21984136
2019-03-03T01:00:00+01:00;372019
2019-03-03T02:00:00+01:00;167372
2019-03-03T03:00:00+01:00;392038
2019-03-03T04:00:00+01:00;131771
2019-03-03T05:00:00+01:00;5888
2019-03-03T06:00:00+01:00;20377
2019-03-03T07:00:00+01:00;11520
2019-03-03T08:00:00+01:00;10410
2019-03-03T09:00:00+01:00;9403
2019-03-03T10:00:00+01:00;10188
2019-03-03T11:00:00+01:00;11980
2019-03-03T12:00:00+01:00;21230
2019-03-03T13:00:00+01:00;3123
2019-03-03T14:00:00+01:00;26487
2019-03-03T15:00:00+01:00;3976
2019-03-03T16:00:00+01:00;15223
2019-03-03T17:00:00+01:00;4334
2019-03-03T18:00:00+01:00;105779
2019-03-03T19:00:00+01:00;22442
2019-03-03T20:00:00+01:00;6877
2019-03-03T21:00:00+01:00;3003
2019-03-03T22:00:00+01:00;3822
2019-03-03T23:00:00+01:00;4659
2019-03-04T00:00:00+01:00;22137651
2019-03-04T01:00:00+01:00;451566
2019-03-04T02:00:00+01:00;338397
2019-03-04T03:00:00+01:00;322457
2019-03-04T04:00:00+01:00;93559
2019-03-04T05:00:00+01:00;4676
2019-03-04T06:00:00+01:00;33536
2019-03-04T07:00:00+01:00;73540
2019-03-04T08:00:00+01:00;694937
